Date,Open,High,Low,Close,Volume
2025-10-01 13:00:00,81.165,81.945,81.165,81.89,3909734
2025-10-02 13:00:00,83.75,83.78,82.875,83.53,6535103
2025-10-03 13:00:00,83.84,84.255,83.44,83.85,4225092
2025-10-06 13:00:00,84.74,85.055,84.58,84.78,3658061
2025-10-07 13:00:00,84.91,84.91,83.3,83.35,5040627
2025-10-08 13:00:00,83.2,84.25,83.06,84.19,2981915
2025-10-09 13:00:00,84.43,84.48,83.05,83.43,5477158
2025-10-10 13:00:00,84.25,84.4,80.63,80.72,9591914
2025-10-13 13:00:00,83.38,83.93,83.05,83.62,5622009
2025-10-14 13:00:00,81.88,83.35,81.59,82.69,4381450
2025-10-15 13:00:00,84.8,85.19,84.39,85.17,4072103
2025-10-16 13:00:00,87.91,88.54,87.37,87.88,8139402
2025-10-17 13:00:00,88.07,88.64,87.72,88.52,3725283
2025-10-20 13:00:00,89.87,90.565,89.855,90.43,5327027
2025-10-21 13:00:00,89.32,89.395,88.62,88.64,5103818
2025-10-22 13:00:00,90.0,90.565,88.81,89.45,6469235
2025-10-23 13:00:00,88.99,90.3,88.96,90.07,4919185
2025-10-24 13:00:00,91.69,92.095,91.425,92.05,6017595
2025-10-27 13:00:00,94.59,94.67,93.81,94.31,7519361
2025-10-28 13:00:00,93.39,94.54,93.31,94.45,6182321
2025-10-29 13:00:00,97.09,97.515,96.22,96.9,11103794
2025-10-30 13:00:00,95.29,95.815,95.02,95.26,7413204
2025-10-31 13:00:00,97.09,97.14,96.325,97.0,6141104
2025-11-03 14:00:00,100.58,100.785,99.615,100.78,7028003
2025-11-04 14:00:00,96.31,97.35,95.67,95.76,9065497
2025-11-05 14:00:00,94.31,96.76,94.2763,96.62,7539515
2025-11-06 14:00:00,94.31,94.66,92.815,93.51,9740625
2025-11-07 14:00:00,91.22,91.82,89.8,91.8,15219416
2025-11-10 14:00:00,94.96,95.795,94.52,95.67,8460832
2025-11-11 14:00:00,95.31,95.745,94.77,95.29,5259925
2025-11-12 14:00:00,95.92,96.03,95.415,95.92,7121913
2025-11-13 14:00:00,96.09,96.25,93.665,94.07,11542989
2025-11-14 14:00:00,92.41,95.005,92.1,94.13,10710862
2025-11-17 14:00:00,93.7,94.84,92.775,93.02,6954959
2025-11-18 14:00:00,91.33,92.215,90.74,91.59,11789566
2025-11-19 14:00:00,90.205,91.465,89.775,90.56,8606289
2025-11-20 14:00:00,92.4,92.55,88.43,88.53,10483119
2025-11-21 14:00:00,88.04,89.745,86.9,89.22,12129533
2025-11-24 14:00:00,88.01,90.44,87.99,90.3,7611990
2025-11-25 14:00:00,88.89,89.8,87.89,89.79,5330832
2025-11-26 14:00:00,90.78,91.66,90.375,91.55,4266987
2025-11-28 14:00:00,90.53,91.01,90.495,90.87,2704937
2025-12-01 14:00:00,90.41,90.985,90.345,90.62,3567750
2025-12-02 14:00:00,92.44,92.67,91.72,92.07,5273393
2025-12-03 14:00:00,92.36,93.02,92.03,93.0,4935966
2025-12-04 14:00:00,92.22,92.29,91.585,91.87,5304141
2025-12-05 14:00:00,93.85,94.81,93.73,94.3,7104231
2025-12-08 14:00:00,95.92,95.96,94.875,95.07,4546426
2025-12-09 14:00:00,95.2,95.6,94.93,95.57,6039716
2025-12-10 14:00:00,95.15,96.815,94.985,96.75,6052695
2025-12-11 14:00:00,95.025,95.125,94.2399,94.96,8052833
2025-12-12 14:00:00,94.61,94.75,92.51,92.67,10846755
2025-12-15 14:00:00,94.195,94.26,92.695,92.73,5976419
2025-12-16 14:00:00,89.35,89.93,88.975,89.52,7742034
2025-12-17 14:00:00,90.56,90.705,88.4,88.58,6435051
2025-12-18 14:00:00,90.6,91.12,90.07,90.07,6517061
2025-12-19 14:00:00,90.255,91.42,90.14,91.34,5738655
2025-12-22 14:00:00,91.78,91.95,91.455,91.75,3610126
2025-12-23 14:00:00,91.79,92.73,91.71,92.7,3815970
2025-12-24 14:00:00,94.08,94.65,94.0,94.6,3461499
2025-12-26 14:00:00,95.23,96.005,95.05,95.84,5307904
2025-12-29 14:00:00,97.95,98.79,97.695,98.72,7582201
2025-12-30 14:00:00,98.18,98.91,98.15,98.62,4291789
2025-12-31 14:00:00,98.39,98.58,97.22,97.22,4481072
2026-01-02 14:00:00,101.0,102.335,100.85,102.22,8772419
2026-01-05 14:00:00,104.98,105.25,104.02,104.83,9523368
2026-01-06 14:00:00,105.58,107.65,105.51,107.61,9754803
2026-01-07 14:00:00,107.365,107.64,106.82,107.03,8364989
