Date,Open,High,Low,Close,Volume
2025-10-01 13:00:00,269.38,276.695,268.88,276.34,9339556
2025-10-02 13:00:00,281.5,282.54,279.61,281.69,7250026
2025-10-03 13:00:00,282.95,284.34,278.48,279.96,8629281
2025-10-06 13:00:00,290.99,292.51,288.35,288.36,11274978
2025-10-07 13:00:00,290.975,291.48,281.53,281.91,9952035
2025-10-08 13:00:00,281.995,291.86,281.48,291.54,9301739
2025-10-09 13:00:00,291.085,291.6125,287.47,290.19,7603525
2025-10-10 13:00:00,290.82,291.63,271.46,271.99,26691230
2025-10-13 13:00:00,282.78,285.95,280.34,284.87,8703376
2025-10-14 13:00:00,278.5,284.77,277.36,279.03,8476042
2025-10-15 13:00:00,286.25,288.015,281.84,287.64,7595239
2025-10-16 13:00:00,291.075,292.26,285.94,288.98,7410391
2025-10-17 13:00:00,286.89,289.635,283.7193,288.17,6261510
2025-10-20 13:00:00,290.61,295.0,290.495,292.97,5832300
2025-10-21 13:00:00,292.5,292.7,289.22,291.33,3965223
2025-10-22 13:00:00,288.11,289.825,278.46,284.13,7875302
2025-10-23 13:00:00,282.49,291.86,282.25,291.06,5374810
2025-10-24 13:00:00,296.33,298.22,295.44,295.86,4621169
2025-10-27 13:00:00,301.43,305.01,300.405,304.08,5165020
2025-10-28 13:00:00,303.46,305.97,302.38,304.45,4156442
2025-10-29 13:00:00,309.865,312.7897,306.97,309.6,4503069
2025-10-30 13:00:00,307.94,311.12,305.38,305.41,4630695
2025-10-31 13:00:00,308.7,311.3225,304.26,306.55,5164275
2025-11-03 14:00:00,310.4,311.7525,307.13,308.38,3750762
2025-11-04 14:00:00,300.34,304.745,295.55,296.26,5288819
2025-11-05 14:00:00,297.21,309.17,296.89,305.47,4949353
2025-11-06 14:00:00,305.0,305.89,295.35,297.5,8548311
2025-11-07 14:00:00,292.64,294.45,283.59,294.38,13798565
2025-11-10 14:00:00,302.44,303.36,298.54,302.0,6030840
2025-11-11 14:00:00,299.04,300.02,294.69,295.15,5877863
2025-11-12 14:00:00,300.22,301.69,297.5,299.67,4144965
2025-11-13 14:00:00,295.94,297.13,286.45,289.38,10980641
2025-11-14 14:00:00,280.62,292.8,279.41,288.52,7141995
2025-11-17 14:00:00,286.07,291.53,280.24,283.56,8188737
2025-11-18 14:00:00,279.54,281.405,274.09,276.98,11103066
2025-11-19 14:00:00,278.14,285.14,276.82,281.61,5108056
2025-11-20 14:00:00,288.9,289.99,267.0,268.1,13398331
2025-11-21 14:00:00,268.265,274.76,260.44,270.83,15355858
2025-11-24 14:00:00,273.78,284.05,273.615,282.7,6424802
2025-11-25 14:00:00,278.955,284.34,272.76,283.58,5942820
2025-11-26 14:00:00,286.72,294.08,286.61,291.39,5818259
2025-11-28 14:00:00,293.25,296.99,291.83,296.74,3037957
2025-12-01 14:00:00,292.87,299.42,292.53,296.92,3932993
2025-12-02 14:00:00,300.445,304.84,298.69,302.84,5086879
2025-12-03 14:00:00,304.5,309.57,301.465,309.36,3867116
2025-12-04 14:00:00,307.84,308.27,304.5919,306.28,4639662
2025-12-05 14:00:00,309.295,312.83,308.93,309.4,4338106
2025-12-08 14:00:00,311.925,314.0799,309.865,312.76,3620859
2025-12-09 14:00:00,310.78,312.85,309.435,312.18,2775282
2025-12-10 14:00:00,312.005,317.35,310.56,316.33,5093809
2025-12-11 14:00:00,312.8,314.775,305.79,314.52,6504706
2025-12-12 14:00:00,310.8,311.6,297.96,299.48,13813631
